week_start,week_end,month_t,journal,news_lag2w,cong_lag2w,news_t,cong_t
2024-10-24,2024-11-06,2024-11-01,NYT,1,0,2,1
2024-10-26,2024-11-08,2024-11-01,NYT,1,0,2,1
2024-11-20,2024-12-03,2024-12-01,NYT,1,0,5,2
2024-11-29,2024-12-12,2024-12-01,NYT,1,0,5,2
2024-12-10,2024-12-23,2024-12-01,NYT,1,0,5,2
2024-12-11,2024-12-24,2024-12-01,NYT,1,0,5,2
2024-12-17,2024-12-30,2024-12-01,NYT,1,0,5,2
2024-12-20,2025-01-02,2025-01-01,NYT,1,0,5,7
2024-12-26,2025-01-08,2025-01-01,NYT,1,0,5,7
2025-01-03,2025-01-16,2025-01-01,NYT,2,3,5,7
2025-01-04,2025-01-17,2025-01-01,NYT,1,0,5,7
2025-01-07,2025-01-20,2025-01-01,NYT,2,0,5,7
2025-04-27,2025-05-10,2025-05-01,NYT,1,0,1,4
2025-04-28,2025-05-11,2025-05-01,NYT,1,1,1,4
2025-05-08,2025-05-21,2025-05-01,NYT,1,0,1,4
2025-06-16,2025-06-29,2025-06-01,NYT,2,0,7,1
2025-06-17,2025-06-30,2025-07-01,NYT,4,0,4,0
2025-06-27,2025-07-10,2025-07-01,NYT,1,0,4,0
2025-07-08,2025-07-21,2025-07-01,NYT,1,0,4,0
2025-07-10,2025-07-23,2025-07-01,NYT,1,0,4,0
2025-07-22,2025-08-04,2025-08-01,NYT,2,0,8,0
2025-08-01,2025-08-14,2025-08-01,NYT,1,0,8,0
2025-08-05,2025-08-18,2025-08-01,NYT,1,0,8,0
2025-08-14,2025-08-27,2025-08-01,NYT,1,0,8,0
2025-08-16,2025-08-29,2025-08-01,NYT,1,0,8,0
2025-08-17,2025-08-30,2025-08-01,NYT,1,0,8,0
2025-08-19,2025-09-01,2025-09-01,NYT,1,0,7,1
2025-08-25,2025-09-07,2025-09-01,NYT,1,0,7,1
2025-08-31,2025-09-13,2025-09-01,NYT,1,0,7,1
2025-09-02,2025-09-15,2025-09-01,NYT,1,0,7,1
2025-09-03,2025-09-16,2025-09-01,NYT,2,0,7,1
2025-09-04,2025-09-17,2025-09-01,NYT,2,0,7,1
2025-09-06,2025-09-19,2025-09-01,NYT,1,0,7,1
2025-09-07,2025-09-20,2025-09-01,NYT,1,0,7,1
2025-10-10,2025-10-23,2025-10-01,NYT,1,0,2,1
2025-10-12,2025-10-25,2025-10-01,NYT,1,0,2,1
2025-11-24,2025-12-07,2025-12-01,NYT,1,0,6,7
2025-12-02,2025-12-15,2025-12-01,NYT,1,0,6,7
2025-12-10,2025-12-23,2025-12-01,NYT,1,1,6,7
2025-12-11,2025-12-24,2025-12-01,NYT,1,1,6,7
2025-12-18,2025-12-31,2026-01-01,NYT,1,1,0,0
2025-12-25,2026-01-07,2026-01-01,NYT,1,0,0,0
2025-12-26,2026-01-08,2026-01-01,NYT,1,0,0,0
2022-01-13,2022-01-26,2022-01-01,WP,2,0,4,0
2022-01-14,2022-01-27,2022-01-01,WP,1,0,4,0
2022-01-17,2022-01-30,2022-01-01,WP,1,0,4,0
2022-02-03,2022-02-16,2022-02-01,WP,1,0,5,0
2022-02-10,2022-02-23,2022-02-01,WP,1,0,5,0
2022-02-11,2022-02-24,2022-02-01,WP,2,0,5,0
2022-02-17,2022-03-02,2022-03-01,WP,1,0,5,1
2022-03-01,2022-03-14,2022-03-01,WP,1,0,5,1
2022-03-04,2022-03-17,2022-03-01,WP,1,0,5,1
2022-03-06,2022-03-19,2022-03-01,WP,1,0,5,1
2022-03-22,2022-04-04,2022-04-01,WP,1,0,7,0
2022-03-25,2022-04-07,2022-04-01,WP,1,0,7,0
2022-04-04,2022-04-17,2022-04-01,WP,2,0,7,0
2022-04-22,2022-05-05,2022-05-01,WP,3,0,2,1
2022-04-24,2022-05-07,2022-05-01,WP,1,0,2,1
2022-04-27,2022-05-10,2022-05-01,WP,1,0,2,1
2022-05-01,2022-05-14,2022-05-01,WP,1,0,2,1
2022-05-02,2022-05-15,2022-05-01,WP,1,0,2,1
2022-06-17,2022-06-30,2022-07-01,WP,1,0,7,2
2022-07-05,2022-07-18,2022-07-01,WP,2,0,7,2
2022-07-19,2022-08-01,2022-08-01,WP,1,0,10,0
2022-07-21,2022-08-03,2022-08-01,WP,1,0,10,0
2022-07-22,2022-08-04,2022-08-01,WP,2,0,10,0
2022-07-24,2022-08-06,2022-08-01,WP,1,0,10,0
2022-08-01,2022-08-14,2022-08-01,WP,1,0,10,0
2022-08-06,2022-08-19,2022-08-01,WP,1,0,10,0
2022-08-10,2022-08-23,2022-08-01,WP,1,0,10,0
2022-08-18,2022-08-31,2022-09-01,WP,2,0,7,0
2022-08-22,2022-09-04,2022-09-01,WP,1,0,7,0
2022-08-23,2022-09-05,2022-09-01,WP,1,0,7,0
2022-08-24,2022-09-06,2022-09-01,WP,2,0,7,0
2022-08-28,2022-09-10,2022-09-01,WP,1,0,7,0
2022-09-13,2022-09-26,2022-09-01,WP,1,0,7,0
2022-09-14,2022-09-27,2022-09-01,WP,1,0,7,0
2022-09-19,2022-10-02,2022-10-01,WP,2,0,5,0
2022-09-24,2022-10-07,2022-10-01,WP,1,0,5,0
2022-09-25,2022-10-08,2022-10-01,WP,1,0,5,0
2022-09-30,2022-10-13,2022-10-01,WP,1,0,5,0
2022-10-01,2022-10-14,2022-10-01,WP,1,0,5,0
2022-10-13,2022-10-26,2022-10-01,WP,1,0,5,0
2022-10-25,2022-11-07,2022-11-01,WP,1,0,5,0
2022-10-26,2022-11-08,2022-11-01,WP,2,0,5,0
2022-11-05,2022-11-18,2022-11-01,WP,1,0,5,0
2022-11-07,2022-11-20,2022-11-01,WP,1,0,5,0
2022-11-08,2022-11-21,2022-11-01,WP,1,0,5,0
2022-11-11,2022-11-24,2022-11-01,WP,1,0,5,0
2022-11-26,2022-12-09,2022-12-01,WP,1,0,4,5
2022-12-05,2022-12-18,2022-12-01,WP,1,0,4,5
2022-12-14,2022-12-27,2022-12-01,WP,1,0,4,5
2022-12-19,2023-01-01,2023-01-01,WP,1,0,3,1
2022-12-21,2023-01-03,2023-01-01,WP,1,1,3,1
2023-01-10,2023-01-23,2023-01-01,WP,1,0,3,1
2023-01-17,2023-01-30,2023-01-01,WP,1,0,3,1
2023-01-22,2023-02-04,2023-02-01,WP,1,0,2,3
2023-02-14,2023-02-27,2023-02-01,WP,1,0,2,3
2023-02-15,2023-02-28,2023-03-01,WP,1,0,7,1
2023-03-04,2023-03-17,2023-03-01,WP,1,0,7,1
2023-03-07,2023-03-20,2023-03-01,WP,2,1,7,1
2023-03-15,2023-03-28,2023-03-01,WP,1,0,7,1
2023-03-17,2023-03-30,2023-03-01,WP,1,0,7,1
2023-03-20,2023-04-02,2023-04-01,WP,1,0,3,1
2023-03-27,2023-04-09,2023-04-01,WP,1,0,3,1
2023-04-05,2023-04-18,2023-04-01,WP,1,0,3,1
2023-04-09,2023-04-22,2023-04-01,WP,1,0,3,1
2023-04-10,2023-04-23,2023-04-01,WP,1,0,3,1
2023-05-01,2023-05-14,2023-05-01,WP,1,0,5,1
2023-05-04,2023-05-17,2023-05-01,WP,1,0,5,1
2023-05-09,2023-05-22,2023-05-01,WP,1,0,5,1
2023-05-16,2023-05-29,2023-05-01,WP,1,0,5,1
2023-05-30,2023-06-12,2023-06-01,WP,1,0,2,0
2023-06-09,2023-06-22,2023-06-01,WP,1,0,2,0
2023-06-30,2023-07-13,2023-07-01,WP,1,0,3,3
2023-07-06,2023-07-19,2023-07-01,WP,1,0,3,3
2023-07-25,2023-08-07,2023-08-01,WP,1,0,5,0
2023-07-28,2023-08-10,2023-08-01,WP,1,0,5,0
2023-08-01,2023-08-14,2023-08-01,WP,1,0,5,0
2023-08-09,2023-08-22,2023-08-01,WP,1,0,5,0
2023-08-22,2023-09-04,2023-09-01,WP,1,0,0,1
2023-08-25,2023-09-07,2023-09-01,WP,1,0,0,1
2023-08-27,2023-09-09,2023-09-01,WP,1,0,0,1
2023-10-02,2023-10-15,2023-10-01,WP,1,0,5,0
2023-10-12,2023-10-25,2023-10-01,WP,1,0,5,0
2023-10-16,2023-10-29,2023-10-01,WP,1,0,5,0
2023-10-17,2023-10-30,2023-10-01,WP,1,0,5,0
2023-10-25,2023-11-07,2023-11-01,WP,1,0,3,0
2023-11-29,2023-12-12,2023-12-01,WP,1,0,5,1
2023-11-30,2023-12-13,2023-12-01,WP,2,0,5,1
2023-12-01,2023-12-14,2023-12-01,WP,1,0,5,1
2023-12-02,2023-12-15,2023-12-01,WP,1,0,5,1
2023-12-03,2023-12-16,2023-12-01,WP,1,0,5,1
2023-12-06,2023-12-19,2023-12-01,WP,1,0,5,1
2023-12-12,2023-12-25,2023-12-01,WP,1,1,5,1
2024-04-03,2024-04-16,2024-04-01,WP,1,0,2,3
2024-04-04,2024-04-17,2024-04-01,WP,1,0,2,3
2024-07-13,2024-07-26,2024-07-01,WP,1,0,5,1
2024-07-18,2024-07-31,2024-08-01,WP,2,0,0,2
2024-07-21,2024-08-03,2024-08-01,WP,1,0,0,2
2024-07-23,2024-08-05,2024-08-01,WP,1,1,0,2
2024-09-26,2024-10-09,2024-10-01,WP,1,0,2,0
2024-09-30,2024-10-13,2024-10-01,WP,1,0,2,0
2024-10-08,2024-10-21,2024-10-01,WP,1,0,2,0
2024-10-20,2024-11-02,2024-11-01,WP,1,0,6,1
2024-11-01,2024-11-14,2024-11-01,WP,1,0,6,1
2024-11-03,2024-11-16,2024-11-01,WP,1,0,6,1
2024-11-20,2024-12-03,2024-12-01,WP,1,0,6,2
2024-11-22,2024-12-05,2024-12-01,WP,1,0,6,2
2024-11-29,2024-12-12,2024-12-01,WP,1,0,6,2
2024-11-30,2024-12-13,2024-12-01,WP,1,0,6,2
2024-12-09,2024-12-22,2024-12-01,WP,1,0,6,2
2024-12-10,2024-12-23,2024-12-01,WP,1,0,6,2
2024-12-11,2024-12-24,2024-12-01,WP,2,0,6,2
2024-12-17,2024-12-30,2024-12-01,WP,1,0,6,2
2024-12-26,2025-01-08,2025-01-01,WP,1,0,4,7
2025-01-06,2025-01-19,2025-01-01,WP,1,0,4,7
2025-01-08,2025-01-21,2025-01-01,WP,2,0,4,7
2025-01-09,2025-01-22,2025-01-01,WP,1,0,4,7
2025-03-02,2025-03-15,2025-03-01,WP,2,0,9,1
2025-03-03,2025-03-16,2025-03-01,WP,1,0,9,1
2025-03-05,2025-03-18,2025-03-01,WP,1,0,9,1
2025-03-06,2025-03-19,2025-03-01,WP,1,0,9,1
2025-03-07,2025-03-20,2025-03-01,WP,1,0,9,1
2025-03-16,2025-03-29,2025-03-01,WP,2,0,9,1
2025-03-18,2025-03-31,2025-04-01,WP,1,0,4,5
2025-04-17,2025-04-30,2025-05-01,WP,2,0,2,4
2025-04-26,2025-05-09,2025-05-01,WP,1,0,2,4
2025-04-29,2025-05-12,2025-05-01,WP,1,2,2,4
2025-05-25,2025-06-07,2025-06-01,WP,1,0,5,1
2025-05-27,2025-06-09,2025-06-01,WP,1,0,5,1
2025-06-10,2025-06-23,2025-06-01,WP,1,0,5,1
2025-06-11,2025-06-24,2025-06-01,WP,1,0,5,1
2025-06-16,2025-06-29,2025-06-01,WP,1,0,5,1
2025-06-17,2025-06-30,2025-07-01,WP,2,0,2,0
2025-07-27,2025-08-09,2025-08-01,WP,1,0,8,0
2025-07-28,2025-08-10,2025-08-01,WP,1,0,8,0
2025-08-04,2025-08-17,2025-08-01,WP,1,0,8,0
2025-08-05,2025-08-18,2025-08-01,WP,1,0,8,0
2025-08-16,2025-08-29,2025-08-01,WP,1,0,8,0
2025-08-19,2025-09-01,2025-09-01,WP,1,0,1,1
2025-08-24,2025-09-06,2025-09-01,WP,1,0,1,1
2025-08-27,2025-09-09,2025-09-01,WP,1,0,1,1
2025-08-28,2025-09-10,2025-09-01,WP,2,0,1,1
2025-09-03,2025-09-16,2025-09-01,WP,1,0,1,1
2025-10-16,2025-10-29,2025-10-01,WP,1,0,1,1
2025-11-14,2025-11-27,2025-11-01,WP,1,0,1,0
2025-12-24,2026-01-06,2026-01-01,WP,1,0,0,0
2025-12-25,2026-01-07,2026-01-01,WP,2,0,0,0
2025-12-28,2026-01-10,2026-01-01,WP,2,0,0,0
2022-03-08,2022-03-21,2022-03-01,WSJ,1,0,1,1
2022-04-03,2022-04-16,2022-04-01,WSJ,1,0,2,0
2022-04-05,2022-04-18,2022-04-01,WSJ,1,0,2,0
2022-06-08,2022-06-21,2022-06-01,WSJ,1,0,2,1
2022-06-11,2022-06-24,2022-06-01,WSJ,1,0,2,1
2022-07-03,2022-07-16,2022-07-01,WSJ,1,0,5,2
2022-07-22,2022-08-04,2022-08-01,WSJ,2,0,0,0
2022-07-23,2022-08-05,2022-08-01,WSJ,1,0,0,0
2022-07-25,2022-08-07,2022-08-01,WSJ,1,0,0,0
2022-10-25,2022-11-07,2022-11-01,WSJ,1,0,0,0
2022-10-26,2022-11-08,2022-11-01,WSJ,1,0,0,0
2022-10-28,2022-11-10,2022-11-01,WSJ,1,0,0,0
2022-12-25,2023-01-07,2023-01-01,WSJ,1,0,3,1
2022-12-27,2023-01-09,2023-01-01,WSJ,1,0,3,1
2023-01-07,2023-01-20,2023-01-01,WSJ,2,0,3,1
2023-01-26,2023-02-08,2023-02-01,WSJ,1,0,0,3
2023-04-03,2023-04-16,2023-04-01,WSJ,1,0,2,1
2023-04-04,2023-04-17,2023-04-01,WSJ,1,0,2,1
2023-05-03,2023-05-16,2023-05-01,WSJ,1,0,4,1
2023-05-04,2023-05-17,2023-05-01,WSJ,1,0,4,1
2023-05-05,2023-05-18,2023-05-01,WSJ,1,0,4,1
2023-05-08,2023-05-21,2023-05-01,WSJ,1,0,4,1
2023-08-24,2023-09-06,2023-09-01,WSJ,1,0,0,1
2023-08-25,2023-09-07,2023-09-01,WSJ,1,0,0,1
2023-12-27,2024-01-09,2024-01-01,WSJ,1,0,0,0
2023-12-28,2024-01-10,2024-01-01,WSJ,1,0,0,0
2024-04-05,2024-04-18,2024-04-01,WSJ,1,0,1,3
2024-06-27,2024-07-10,2024-07-01,WSJ,1,0,0,1
2024-08-10,2024-08-23,2024-08-01,WSJ,1,0,2,2
2024-08-14,2024-08-27,2024-08-01,WSJ,1,0,2,2
2024-11-02,2024-11-15,2024-11-01,WSJ,1,0,1,1
2025-01-07,2025-01-20,2025-01-01,WSJ,1,0,2,7
2025-01-08,2025-01-21,2025-01-01,WSJ,1,0,2,7
