Unnamed: 0,GOID,topic,gamma,Date
41646,282130415,9,0.363952374522363,1993-10-22
1254,282134226,1,0.400578041391587,1993-12-17
16361,282136869,4,0.669892333177654,1993-10-03
1250,282137655,1,0.717640908249533,1993-12-16
11321,282138151,3,0.765703411128595,1993-10-22
21479,282138375,5,0.551513050972978,1994-01-03
46751,282139250,10,0.1937270606685,1994-01-08
21414,282139659,5,0.346444280931231,1993-10-02
6301,282141300,2,0.642672971995147,1993-12-14
1162,282166837,1,0.655963222932114,1993-07-10
31521,282173759,7,0.716106269629304,1993-10-02
6325,282176314,2,0.530663197692489,1994-02-06
1272,282177088,1,0.655879423545414,1994-02-06
11369,282177904,3,0.312123843219393,1993-12-29
31560,282180447,7,0.376329106418256,1993-12-07
36620,282187336,8,0.573537202757422,1993-12-12
1289,282194548,1,0.66773521898725,1994-03-20
46760,282199254,10,0.4181594047221,1994-02-08
1327,282199920,1,0.629876974707876,1994-05-27
11396,282203570,3,0.517373049178942,1994-03-16
6347,282205008,2,0.629589733643085,1994-03-30
31599,282209319,7,0.522264170673568,1994-02-09
1248,282210418,1,0.721604388284572,1993-12-15
6356,282210754,2,0.445501047093015,1994-04-20
41732,282221505,9,0.668286485248822,1994-04-19
36647,282228218,8,0.665791830547755,1994-02-06
1296,282230232,1,0.774484720461427,1994-04-02
31607,282230633,7,0.318768379155528,1994-03-04
31590,282236087,7,0.634142414003434,1994-01-12
11438,282239371,3,0.376026930585767,1994-06-01
31650,282242032,7,0.636568926120159,1994-05-20
31639,282245407,7,0.637152099752506,1994-05-04
11392,282245456,3,0.455000411310006,1994-03-05
21462,282248738,5,0.59218684425552,1993-12-14
26621,282254725,6,0.361799223164242,1994-06-24
36739,282258658,8,0.92510662049343,1994-07-04
46809,282265612,10,0.748240987207878,1994-05-13
11326,282266439,3,0.429577864921825,1993-11-07
11413,282269518,3,0.570322648221717,1994-04-24
31638,282271835,7,0.813803456026133,1994-05-04
31634,282272322,7,0.757344251627121,1994-05-03
6398,282280505,2,0.66429435352212,1994-06-16
6390,282284742,2,0.377817527184116,1994-06-07
36682,282291292,8,0.77389782905917,1994-04-24
1332,282295173,1,0.749170564712098,1994-06-03
36748,282297285,8,0.629786943558511,1994-07-17
36732,282304232,8,0.597908710249042,1994-06-30
31643,282305361,7,0.498478401845759,1994-05-08
41808,282307563,9,0.383318064928413,1994-07-31
31635,282311355,7,0.690421354487699,1994-05-03
26622,282312960,6,0.340145478624376,1994-06-26
