"","document","topic","gamma"
"78",117,3,0.997373920753298
"79",121,3,0.968519260173826
"80",126,3,0.503081452902369
"81",128,3,0.778453023069053
"82",131,3,0.748380356731605
"83",136,3,0.934857457382258
"84",137,3,0.9967318974995
"85",149,3,0.814829725744632
"86",151,3,0.747670909152384
"87",156,3,0.992341005164349
"88",161,3,0.687846436099019
"89",162,3,0.931118629861994
"90",167,3,0.90692370631964
"91",174,3,0.655915123770711
"92",176,3,0.78447704400339
"93",183,3,0.674204952406707
"94",184,3,0.575298613679235
"95",209,3,0.996106532479415
"96",212,3,0.959047946993212
"97",219,3,0.764601088214087
"98",231,3,0.443099960213874
"99",233,3,0.920472218424573
"100",235,3,0.746778964234949
"101",236,3,0.548379459460131
"102",241,3,0.707496047152263
"103",251,3,0.717045648745242
"104",256,3,0.585152894836401
"105",269,3,0.569696539699065
"106",272,3,0.9487981907445
"107",274,3,0.995488430565827
"108",283,3,0.752549120420905
"109",288,3,0.62159036594586
"110",301,3,0.585152894836401
"111",303,3,0.546374522536522
"112",306,3,0.925997694030538
"113",308,3,0.895895537306594
"114",311,3,0.996710091993789
"115",322,3,0.509655857069135
"116",11,4,0.744105963099209
"117",13,4,0.917130981328687
"118",37,4,0.978035771366946
"119",39,4,0.779199437822923
"120",61,4,0.991049221802518
"121",64,4,0.744237683400646
"122",72,4,0.87768134114865
"123",74,4,0.934830799271022
"124",85,4,0.987216357216629
"125",101,4,0.731232064602672
"126",107,4,0.734938994543881
"127",112,4,0.462578495989657
"128",118,4,0.831631266854549
"129",125,4,0.969161503723158
"130",130,4,0.453279012062122
"131",133,4,0.95773260278508
"132",142,4,0.804944017915241
"133",144,4,0.851394368850202
"134",147,4,0.875093910169419
"135",154,4,0.914578165086032
"136",158,4,0.50560038933051
"137",165,4,0.989595407500494
"138",166,4,0.826024271587783
"139",168,4,0.881518961232246
"140",177,4,0.966405007558849
"141",178,4,0.520995408511764
"142",182,4,0.756593688599417
"143",192,4,0.751924224697544
"144",193,4,0.77326268968613
"145",197,4,0.987005684424329
"146",198,4,0.482751472441636
"147",199,4,0.86240692865707
"148",200,4,0.920866673092444
"149",201,4,0.908515662003167
"150",210,4,0.975913460329195
"151",211,4,0.968519304815614
"152",220,4,0.491539535452137
"153",224,4,0.758911994531887
"154",227,4,0.854515710957774
"155",245,4,0.591222609829325
"156",254,4,0.909598696102295
"157",262,4,0.628997524031223
"158",264,4,0.724142518702596
"159",266,4,0.650729843135802
"160",268,4,0.910502159807625
"161",277,4,0.853316734238846
"162",281,4,0.708499823265512
"163",286,4,0.826694865577172
"164",290,4,0.75577800604668
"165",300,4,0.884564632954959
"166",313,4,0.869554452049164
"167",314,4,0.880736450696078
"168",325,4,0.958373252368289
"169",19,5,0.714099722717461
"170",21,5,0.907140570189192
"171",26,5,0.632161446190325
"172",34,5,0.647030123226139
"173",42,5,0.320881826428148
"174",44,5,0.996472248451091
"175",49,5,0.556837144562244
"176",59,5,0.734298483770833
"177",69,5,0.773377922050289
"178",77,5,0.991672175402981
"179",79,5,0.941759312821338
"180",86,5,0.435091208508016
"181",89,5,0.650324013524311
"182",96,5,0.994174679308587
"183",98,5,0.781361158836868
"184",103,5,0.713830277786722
"185",105,5,0.995242086278363
"186",106,5,0.956993140360374
"187",108,5,0.871356339432391
"188",111,5,0.546368206916507
"189",120,5,0.575609081516933
"190",127,5,0.961173350026532
"191",135,5,0.991076364295621
"192",138,5,0.812084574521434
"193",143,5,0.912995849242673
"194",145,5,0.497412330605243
"195",155,5,0.545695489215551
"196",159,5,0.996711739105887
"197",160,5,0.997380126205374
"198",163,5,0.335070692791593
"199",164,5,0.681305534551772
"200",172,5,0.875733045429183
"201",175,5,0.99478179383028
"202",180,5,0.99590147098034
"203",181,5,0.353042437528879
"204",187,5,0.941194159303692
"205",189,5,0.529166795045828
"206",207,5,0.557878827542251
"207",225,5,0.64770724965321
"208",228,5,0.898652542929458
"209",229,5,0.964273596100198
"210",239,5,0.735899344563
"211",242,5,0.939138221581412
"212",246,5,0.778690204799612
"213",247,5,0.900888526056167
"214",250,5,0.500455191183747
"215",255,5,0.255904566767599
"216",260,5,0.994883032964414
"217",261,5,0.800989052035314
"218",267,5,0.646827584442939
"219",271,5,0.877828374503494
"220",294,5,0.994497351874372
"221",302,5,0.451985043058464
"222",305,5,0.823319015466372
"223",309,5,0.993860893821996
"224",317,5,0.974027838472918
"225",319,5,0.995814087368455
"226",320,5,0.347710286383354
"227",324,5,0.503393827525673
"228",8,6,0.990300618277626
"229",14,6,0.439272563535248
"230",29,6,0.580542294097062
"231",45,6,0.865977904295526
"232",52,6,0.330484191864455
"233",54,6,0.387944413172688
"234",62,6,0.638102653870682
"235",70,6,0.31455137115362
"236",76,6,0.800414713478362
"237",87,6,0.760732646358886
"238",91,6,0.849742324805173
"239",92,6,0.366909308763809
"240",102,6,0.906345348008774
"241",116,6,0.728453707437889
"242",122,6,0.578797948123655
"243",123,6,0.613682239338292
"244",124,6,0.99725158766159
"245",141,6,0.996586155201975
"246",152,6,0.780702189881403
"247",191,6,0.309939914106281
"248",208,6,0.347592973305638
"249",213,6,0.53128630988643
