GOID,Topic
283908304,0
307866926,3
293078714,4
430083765,5
307850615,2
283961875,2
283920309,6
430073525,0
293115850,5
307842951,3
398456888,2
293099715,7
293081595,4
398425592,4
307801318,4
430071338,4
307848699,4
293040142,4
293091563,5
293078301,5
293030589,2
430084568,0
293070835,2
430111006,0
293207171,3
398579840,6
398432909,4
283972451,2
398549511,0
307871587,4
293178904,8
293172506,0
430130857,4
398487398,1
283934358,8
293144786,4
283900805,8
293060922,8
292993968,8
430140068,4
307862153,2
430140701,4
430133738,1
293055264,8
283874780,6
307805368,0
283927933,4
307856210,3
398447704,3
293047613,3
283918183,6
293036719,4
307878421,1
283940115,1
293117420,6
430128399,4
283936511,0
430124279,3
307831993,4
292949706,2
293084996,0
293095811,8
398467962,4
307878837,6
307821844,6
398451165,6
283949596,2
398576295,8
307859672,9
293175291,5
293170648,5
307878924,4
293169165,6
293069965,6
430166862,3
283968423,0
430166788,4
430175317,1
430168738,4
283938395,6
307885702,6
307813561,2
283962327,4
307866862,8
307864988,6
293139399,1
307811784,9
283946944,1
430158799,3
307824599,7
293140473,4
292980999,2
283928201,7
430155612,7
283994119,8
293172297,1
283955247,2
398451723,4
293055525,8
293097293,6
293115883,5
307839535,0
307839466,6
398564010,4
283958903,4
283969953,1
293236270,2
307880975,4
283980321,8
307833338,4
293037078,3
293036911,6
283935748,4
283972289,6
398577733,4
430200022,6
430200397,4
430196559,0
293027451,5
283969041,2
293067987,5
283952839,3
283967935,3
430192477,6
293060052,1
307829233,1
283960106,6
283926288,5
430198034,4
293222850,1
307869564,6
398590434,6
283975663,2
283977586,0
307897659,1
430254591,2
283978667,7
307897574,6
293128729,0
283975649,2
283975679,3
293119660,6
293085808,1
283975042,6
283967345,2
293201709,7
283969236,6
293062710,8
430252610,0
398467861,4
307870467,9
430244563,1
398484392,4
283966555,2
430242513,8
293141979,8
283965721,0
293224548,1
293315765,6
293099962,6
283963280,5
398453684,5
307837631,2
430232853,5
430233133,4
283979364,0
293248538,8
293287210,4
398493754,5
307896598,2
307890935,4
293193749,1
430291261,4
307842703,4
430304034,0
293161130,1
430289559,4
293149179,3
293145470,6
398614545,4
2030867869,3
283968018,4
293036332,3
293120100,1
293041004,3
283984736,0
430268309,7
293035150,3
398558026,2
430267040,2
293084087,0
283985865,4
430327642,0
284001918,6
293157116,5
293186156,6
398610249,2
307855829,7
293102460,7
284009322,2
430300198,7
293098821,3
293069596,2
307852491,7
398558917,1
293273945,7
283986115,2
293202319,4
430326003,7
293057392,7
283983144,7
293208944,7
283979589,7
398500529,2
293087281,4
307915814,1
283977855,2
307854973,0
293176946,2
430380503,0
398524886,8
307871111,7
398496115,0
430361104,2
293133749,0
293092531,1
284017862,6
293121298,1
293131543,1
307861385,6
293083586,6
307857361,4
293208524,0
430332811,4
398499399,6
307853514,7
293082872,4
430328751,4
307851357,7
283990057,2
430417275,4
291073522,7
293146263,6
293211391,3
291071667,4
430410313,7
293158332,8
293103607,7
293107353,6
291079294,7
293125814,0
293134581,0
293128253,4
307850828,4
293198127,6
307915822,6
291087125,3
430435992,0
