"","GOID","topic","gamma"
"199","292605262",1,0.00305347266101013
"200","426567741",1,0.00198772100824952
"201","306917267",1,0.0165750993069012
"202","306924850",1,0.00305381360523837
"203","426612025",1,0.0477234803824236
"204","292737162",1,0.187659336269334
"205","426646753",1,0.00208839232134463
"206","426651323",1,0.0022965890566969
"207","426649115",1,0.0927944902431705
"208","292710020",1,0.00365320240171015
"209","398100134",1,0.039099086916954
"210","426635510",1,0.00134838178523588
"211","306935781",1,0.00221693465208938
"212","426639720",1,0.000482891425767442
"213","292686871",1,0.00177751301487027
"214","306969934",1,0.016745429789374
"215","292736109",1,0.0014308823414064
"216","292713022",1,0.00411528334186102
"217","426664963",1,0.000686799763287662
"218","306952466",1,0.000696307964993638
"219","292703391",1,0.00229004548151854
"220","306983352",1,0.084568678353604
"221","306989015",1,0.0248216989694756
"222","306964690",1,0.00673693872616833
"223","292679293",1,0.00745686653334611
"224","292732998",1,0.00126976914993938
"225","292827958",1,0.00149829007894322
"226","292710062",1,0.00338385532972876
"227","282423662",1,0.0011236357279922
"228","282366258",1,0.034552398408132
"229","292790702",1,0.219187089089317
"230","282401472",1,0.548068917619834
"231","426746157",1,0.00302590130729439
"232","282451421",1,0.00381949094338526
"233","292801933",1,0.00364960952797973
"234","292866871",1,0.0261400895740758
"235","292860647",1,0.0383944456400009
"236","292762635",1,0.00148568347196428
"237","292898492",1,0.0712989636498093
"238","426800482",1,0.0155911711298315
"239","282428511",1,0.00318658915437932
"240","282429053",1,0.00117609065620123
"241","292859876",1,0.00251023207055545
"242","426794829",1,0.52455821733169
"243","292865535",1,0.00790411533225696
"244","307004802",1,0.0131189268687843
"245","292874448",1,0.00943472552778211
"246","282383748",1,0.00121867493883019
"247","426824518",1,0.00235789944668457
"248","292871099",1,0.0115981791469737
"249","398098762",1,0.00121851570509657
"250","282458937",1,0.0208488737002187
"251","292886884",1,0.00128513857263486
"252","426859730",1,0.00216542282476803
"253","426857117",1,0.00189379842295529
"254","307056860",1,0.0141758386924573
"255","292778442",1,0.087790162139753
"256","282421207",1,0.00178857265145904
"257","307043948",1,0.00606945809825582
"258","282491483",1,0.00704590681274386
"259","307084570",1,0.0036447302739996
"260","292833135",1,0.00663907452576801
"261","426875144",1,0.00432529934538215
"262","280540933",1,0.00145279071248403
"263","426924296",1,0.00407882977256649
"264","280545952",1,0.00123778409699078
"265","280504819",1,0.53286646237451
"266","280508745",1,0.00248146098210035
"267","307080152",1,0.0017010423579709
"268","280649703",1,0.00160062257566968
"269","426943331",1,0.000938028914242589
"270","280516009",1,0.001454191309263
"271","426940077",1,0.0576413447348698
"272","280508448",1,0.00216583773453514
"273","426931914",1,0.00432196621017573
"274","280586901",1,0.00917518323709843
"275","280513047",1,0.00239223134744053
"276","280546894",1,0.00494252404301606
"277","426977181",1,0.000777818379702194
"278","280618596",1,0.0167260494925268
"279","280654064",1,0.00062255004266851
"280","282500484",1,0.000779079738410109
"281","426978391",1,0.00557065621389379
"282","426980820",1,0.0148487180159305
"283","282610037",1,0.00240429390197772
"284","307073143",1,0.000837618462704952
"285","427013004",1,0.0015576008439586
"286","282625338",1,0.000795794975839772
"287","280720888",1,0.00135599082476399
"288","280613713",1,0.00144406362821128
"289","282517999",1,0.0136509090427472
"290","426998950",1,0.00167374630925217
"291","427052293",1,0.00274824577914224
"292","280689771",1,0.0210642885278533
"293","307125909",1,0.0135134192560659
"294","282695897",1,0.00250973669150863
