filename,date,topics,keywords
CREC-2023-10-25-pt1-PgD1087.pdf,"October 25, 2023",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1998-02-27-pt1-PgD141.pdf,"February 27, 1998",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-1999-10-19-pt1-PgD1157.pdf,"October 19, 1999",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1995-03-06-pt1-PgD293-2.pdf,"March 6, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-1995-05-24-pt1-PgD662.pdf,"May 24, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2025-02-25-pt1-PgD185.pdf,"February 25, 2025",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2014-02-24-pt1-PgD159.pdf,"February 24, 2014",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1995-06-16-pt1-PgD746-2.pdf,"June 16, 1995",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2005-09-28-pt1-PgD981.pdf,"September 28, 2005",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2016-06-13-pt1-PgD648-2.pdf,"June 13, 2016",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2023-07-13-pt1-PgD718.pdf,"July 13, 2023",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2005-05-19-pt1-PgD515.pdf,"May 19, 2005",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-1997-09-23-pt1-PgD992.pdf,"September 23, 1997",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2017-05-10-pt1-PgD514.pdf,"May 10, 2017",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1998-07-15-pt1-PgD766.pdf,"July 15, 1998",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2005-09-29-pt1-PgD991.pdf,"September 29, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-1997-09-30-pt1-PgD1034.pdf,"September 30, 1997",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2018-01-08-pt1-PgD15.pdf,"January 8, 2018",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2002-06-17-pt1-PgD626-2.pdf,"June 17, 2002",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2016-04-20-pt1-PgD407-2.pdf,"April 20, 2016",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2004-07-16-pt1-PgD785-3.pdf,"July 16, 2004",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2018-07-18-pt1-PgD833.pdf,"July 18, 2018",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2000-10-26-pt2-PgD1135.pdf,"October 26, 2000",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2016-09-21-pt1-PgD955-2.pdf,"September 21, 2016",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2011-05-05-pt1-PgD460-2.pdf,"May 5, 2011",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2011-10-12-pt1-PgD1088.pdf,"October 12, 2011",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2000-02-01-pt1-PgD42.pdf,"February 1, 2000",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2014-07-16-pt1-PgD796.pdf,"July 16, 2014",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1995-05-05-pt1-PgD556-3.pdf,"May 5, 1995",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-1995-05-12-pt1-PgD597.pdf,"May 12, 1995",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2002-06-14-pt1-PgD617-4.pdf,"June 14, 2002",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2005-09-15-pt1-PgD927-2.pdf,"September 15, 2005",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-1997-04-24-pt1-PgD384.pdf,"April 24, 1997",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-1995-05-25-pt1-PgD670.pdf,"May 25, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2002-01-29-pt1-PgD40.pdf,"January 29, 2002",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2005-09-21-pt1-PgD944.pdf,"September 21, 2005",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2025-03-03-pt1-PgD207.pdf,"March 3, 2025",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-1999-07-28-pt1-PgD877.pdf,"July 28, 1999",2,"senate, amendment, vote, yeas, fund, neutral, reserve, nays, states, united"
CREC-2005-02-15-pt1-PgD97.pdf,"February 15, 2005",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2016-04-19-pt1-PgD399.pdf,"April 19, 2016",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2024-04-30-pt1-PgD417.pdf,"April 30, 2024",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-1996-06-24-pt1-PgD660-2.pdf,"June 24, 1996",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
